dt,country,terrorism_insurgency,war_military_conflict,regional_disintegration,financial_sanctions,trade_disputes,cyber_warfare,energy_resource_conflicts,global_governance,nuclear_proliferation,territorial_disputes,other,TOTAL
01/03/2003,DE,0.801282051,10.41666667,0,0.16025641,0.961538462,0,1.762820513,0.16025641,0,0,3.365384615,17.62820513
01/04/2003,DE,0.174216028,4.703832753,0.174216028,0.174216028,1.219512195,0,1.916376307,0.522648084,0.348432056,0,5.226480836,14.45993031
01/05/2003,DE,0.338409475,1.184433164,0.507614213,0.169204738,2.368866328,0,0.169204738,1.353637902,0,0,3.72250423,9.813874788
01/06/2003,DE,0.164203612,0.821018062,0.65681445,0,1.477832512,0,1.3136289,0.328407225,0.492610837,0,1.642036125,6.896551724
01/07/2003,DE,0.151515152,0.757575758,0,0.303030303,0.606060606,0,1.212121212,0.151515152,0.151515152,0,1.212121212,4.545454545
01/08/2003,DE,0.53667263,0.894454383,0.178890877,0.357781753,1.431127013,0,1.073345259,0.894454383,0.178890877,0,1.073345259,6.618962433
01/09/2003,DE,0.333333333,0.833333333,0.833333333,0,1.833333333,0,0.5,1.166666667,0.166666667,0,1.5,7.166666667
01/10/2003,DE,0.408719346,0.817438692,0,0.544959128,1.771117166,0,1.771117166,0.68119891,0,0,0.953678474,6.948228883
01/11/2003,DE,0.722543353,0.144508671,0.722543353,0.144508671,1.878612717,0,1.589595376,1.300578035,0.144508671,0.144508671,1.156069364,7.947976879
01/12/2003,DE,0.502512563,0.335008375,0.167504188,0.167504188,1.005025126,0,1.340033501,0.502512563,0.67001675,0.167504188,1.005025126,5.862646566
01/01/2004,DE,0.638977636,1.916932907,0,0,1.118210863,0,0.798722045,0.798722045,0,0,1.277955272,6.549520767
01/02/2004,DE,0.469483568,0.625978091,0.156494523,0,1.564945227,0,1.095461659,1.095461659,0,0.156494523,1.095461659,6.259780908
01/03/2004,DE,0.769230769,0.769230769,0,0,0.384615385,0,1.41025641,1.41025641,0.128205128,0,0.897435897,5.769230769
01/04/2004,DE,0.59084195,0.886262925,0.295420975,0,1.1816839,0,1.033973412,0.147710487,0,0,1.1816839,5.317577548
01/05/2004,DE,0.630693763,1.051156272,0.280308339,0.070077085,0.911002102,0,2.102312544,0.420462509,0,0,0.981079187,6.447091801
01/06/2004,DE,0.401606426,0.535475234,0.334672021,0.066934404,0.334672021,0,2.008032129,0.669344043,0.133868809,0,0.870147256,5.354752343
01/07/2004,DE,0.179425837,0.4784689,0.23923445,0.4784689,0.538277512,0,1.973684211,0.358851675,0.059808612,0.119617225,0.4784689,4.90430622
01/08/2004,DE,0.207325501,0.691085003,0,0,0.760193504,0,1.658604008,0.276434001,0.207325501,0.207325501,1.313061507,5.321354527
01/09/2004,DE,0.248292986,0.620732464,0.931098696,0.062073246,0.310366232,0,1.241464929,0.372439479,0.124146493,0,0.806952204,4.717566729
01/10/2004,DE,0.163043478,0.597826087,0.27173913,0.27173913,0.706521739,0,1.304347826,0.489130435,0,0.108695652,0.815217391,4.72826087
01/11/2004,DE,0.229182582,1.222307105,0.38197097,0.305576776,0.993124523,0,0.534759358,0.229182582,0,0,0.993124523,4.889228419
01/12/2004,DE,0.058445354,0.292226768,0.409117475,0.526008182,0.759789597,0,2.162478083,0.467562829,0,0,0.701344243,5.376972531
01/01/2005,DE,0.47318612,0.630914826,0.23659306,0.078864353,0.47318612,0,0.47318612,0.94637224,0,0.078864353,0.94637224,4.337539432
